race_code,captured_at_jst,deadline_jst,minutes_before_deadline,source_acquired_at,source_commit,frozen_model_commit,snapshot_sha256
202609261501,2026-09-26T15:11:19.616357+09:00,2026-09-26T15:17:00+09:00,5.673,2026-09-26T15:08:22.881056+09:00,93a97b7967ad86bfde19873935c0c364a884e8b7,92b4694f05ba3a99f3b77ec5492a136f6ae962f5,8807081484e614dc4fcf637f5bb577c96d0e502630e6d6b02224edf5a92b8e7b
202609261901,2026-09-26T15:11:19.616357+09:00,2026-09-26T15:20:00+09:00,8.673,2026-09-26T15:10:30.521293+09:00,93a97b7967ad86bfde19873935c0c364a884e8b7,92b4694f05ba3a99f3b77ec5492a136f6ae962f5,3094f2536da6b6e1d1b4b96e4253f41f0342549c7e9866e883ad33254afcfe19
202609261912,2026-09-26T20:27:09.856678+09:00,2026-09-26T20:35:00+09:00,7.836,2026-09-26T20:25:21.631274+09:00,0fb543e246dd774f3bc56d1a556fdd4ee4a5bc98,92b4694f05ba3a99f3b77ec5492a136f6ae962f5,6d069945f05b2e20157a15ec6b27f77007cf20f887c2f2365331fc3b6f10d8d5
